repo_url,commit_hash,model_file_path,serialization_format,,,
yoshitomo-matsubara/bert-base-uncased-stsb,8fc0be283c7af38c97c6b7151d921a1f84f647b4,yoshitomo-matsubara/bert-base-uncased-stsb/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-base-uncased-sst2_from_bert-large-uncased-sst2,df1c05873e39d591df2dd1040e87487e86eceb70,yoshitomo-matsubara/bert-base-uncased-sst2_from_bert-large-uncased-sst2/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-base-uncased-sst2,7d0cf617c3efaeb57e0cf15962c0fb3c0174d9bb,yoshitomo-matsubara/bert-base-uncased-sst2/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-base-uncased-rte_from_bert-large-uncased-rte,fd2e5db4a9d2758ac153ebb3fa7cf20570a6b574,yoshitomo-matsubara/bert-base-uncased-rte_from_bert-large-uncased-rte/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-base-uncased-rte,18e5ebac21791f2672657f0388d42375f21acc29,yoshitomo-matsubara/bert-base-uncased-rte/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-base-uncased-qqp_from_bert-large-uncased-qqp,20cfc23662ac0e3a5706cdba2878ba8f5f1fe195,yoshitomo-matsubara/bert-base-uncased-qqp_from_bert-large-uncased-qqp/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-base-uncased-qqp,6ac7d79763a5f90f027981122555b03bcf394e93,yoshitomo-matsubara/bert-base-uncased-qqp/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-base-uncased-qnli_from_bert-large-uncased-qnli,b96d3f6df6d856a3c4593bd1956f659333230884,yoshitomo-matsubara/bert-base-uncased-qnli_from_bert-large-uncased-qnli/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-base-uncased-qnli,1d297c67f59ada25497fe8b1ce802101ed8e0bdd,yoshitomo-matsubara/bert-base-uncased-qnli/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-base-uncased-mrpc_from_bert-large-uncased-mrpc,6b609d356394e9dbeaba75cfdd0f368620682565,yoshitomo-matsubara/bert-base-uncased-mrpc_from_bert-large-uncased-mrpc/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-base-uncased-mrpc,832b0e3ad3403525e48751fcafdf17a65a136cfc,yoshitomo-matsubara/bert-base-uncased-mrpc/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-base-uncased-mnli_from_bert-large-uncased-mnli,eca7edf0862d0a745e2029cde6a43a24736b9d67,yoshitomo-matsubara/bert-base-uncased-mnli_from_bert-large-uncased-mnli/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-base-uncased-mnli,38c02ebe3cf589c8aa25dfb852aba7b904c29739,yoshitomo-matsubara/bert-base-uncased-mnli/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-base-uncased-cola_from_bert-large-uncased-cola,daa9fda4e73eef54bb9b21fa630a7cdc844c382b,yoshitomo-matsubara/bert-base-uncased-cola_from_bert-large-uncased-cola/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-base-uncased-cola,106940f94f17e702ae37d740922d679677667c3c,yoshitomo-matsubara/bert-base-uncased-cola/pytorch_model.bin,torch.save,,,
yabramuvdi/distilbert-wfh,3702c3a662d6754f925118bdfbc3315938a5a352,yabramuvdi/distilbert-wfh/pytorch_model.bin,torch.save,,,
yabramuvdi/distilbert-wfh,637b769bb7e86c40634a3f067e09252c076fc869,yabramuvdi/distilbert-wfh/pytorch_model.bin,torch.save,,,
w11wo/indonesian-roberta-base-posp-tagger,42e5235f04b99141e86d2f5dfcba3cf36261e7eb,w11wo/indonesian-roberta-base-posp-tagger/model.safetensors,safetensors,,,
w11wo/indonesian-roberta-base-posp-tagger,42e5235f04b99141e86d2f5dfcba3cf36261e7eb,w11wo/indonesian-roberta-base-posp-tagger/training_args.bin,torch.save,,,
w11wo/indonesian-roberta-base-posp-tagger,ca0d6a6320a908f1ade3e0acd0ab8f9270c5e00e,w11wo/indonesian-roberta-base-posp-tagger/model.safetensors,safetensors,,,
w11wo/indonesian-roberta-base-posp-tagger,1b2747460b28930b2fd41f07a5bea33f014924ca,w11wo/indonesian-roberta-base-posp-tagger/pytorch_model.bin,torch.save,,,
w11wo/indonesian-roberta-base-posp-tagger,1b2747460b28930b2fd41f07a5bea33f014924ca,w11wo/indonesian-roberta-base-posp-tagger/tf_model.h5,h5/hdf5,,,
w11wo/indonesian-roberta-base-posp-tagger,0ae7822b829416358395dbf54e867f8321fbd9fe,w11wo/indonesian-roberta-base-posp-tagger/pytorch_model.bin,torch.save,,,
w11wo/indonesian-roberta-base-posp-tagger,0ae7822b829416358395dbf54e867f8321fbd9fe,w11wo/indonesian-roberta-base-posp-tagger/tf_model.h5,h5/hdf5,,,
w11wo/indonesian-roberta-base-posp-tagger,6b686974b378726e2969e4617d77d89883be4b11,w11wo/indonesian-roberta-base-posp-tagger/pytorch_model.bin,torch.save,,,
w11wo/indonesian-roberta-base-posp-tagger,6b686974b378726e2969e4617d77d89883be4b11,w11wo/indonesian-roberta-base-posp-tagger/tf_model.h5,h5/hdf5,,,
w11wo/indonesian-roberta-base-posp-tagger,92b0a90f1a9596441325fad6a6145aedddd695d2,w11wo/indonesian-roberta-base-posp-tagger/pytorch_model.bin,torch.save,,,
w11wo/indonesian-roberta-base-posp-tagger,92b0a90f1a9596441325fad6a6145aedddd695d2,w11wo/indonesian-roberta-base-posp-tagger/tf_model.h5,h5/hdf5,,,
w11wo/indonesian-roberta-base-posp-tagger,d9eab3827f3ea6573e4573dd61cb1f4348657ca7,w11wo/indonesian-roberta-base-posp-tagger/pytorch_model.bin,torch.save,,,
