repo_url,commit_hash,error
stanfordnlp/stanza-cy,cd4e630a51b42838ad87e647fd740d3ff911eaa7,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-cy/models/pretrain/ccg.pt'
stanfordnlp/stanza-cu,1fad0bdca88ed957e68b97a4930e7bcc9e437e27,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-cu/models/depparse/proiel.pt'
stanfordnlp/stanza-cu,3215be7e2b5ad6959b64094805863897e7caf363,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-cu/models/pos/proiel.pt'
stanfordnlp/stanza-cu,4d447ce3744c2dd33d72ec4bbdf4bdbef989ab44,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-cu/models/lemma/proiel.pt'
stanfordnlp/stanza-cu,a7b2f28779db68ea2154d6c40132065aeee9170f,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-cu/models/pretrain/proiel.pt'
stanfordnlp/stanza-cs,b56f1edd069798c3ae96197fbb2d37f6cab88ae3,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-cs/models/depparse/cac.pt'
stanfordnlp/stanza-cs,c8102f54519ccb67c770774ad9b07c5f2c71084a,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-cs/models/pos/cac.pt'
stanfordnlp/stanza-cs,6dc9e1a7b374453744043872bf22a3266e88f5f9,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-cs/models/lemma/cac.pt'
stanfordnlp/stanza-cop,f275489a2c7325d05b25798f854821e82ef7b813,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-cop/models/depparse/scriptorium.pt'
stanfordnlp/stanza-cop,cb1a42d74e460fba3b8ec61ec8080f5cd0229319,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-cop/models/pos/scriptorium.pt'
stanfordnlp/stanza-cop,331aca9a685a95d75dfd6cb1371ca4c745feae92,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-cop/models/lemma/scriptorium.pt'
stanfordnlp/stanza-ca,b0b8e7f049bc1e2bc6cb1352db9ef8e290da4f2c,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-ca/models/depparse/ancora.pt'
stanfordnlp/stanza-ca,c408f3be64df5944592b7ff3b765d100241f417e,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-ca/models/pos/ancora.pt'
stanfordnlp/stanza-ca,c353d9fa0b119cfb9e9bfe4268acd58e6834b87c,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-ca/models/lemma/ancora.pt'
stanfordnlp/stanza-bg,13f4aa05c01c24e28c129ee352391c23c057701a,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-bg/models/depparse/btb.pt'
stanfordnlp/stanza-bg,dda1ee82f3f1483c8b94f303b5f74bb88a8babc1,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-bg/models/pos/btb.pt'
stanfordnlp/stanza-bg,d03d3a6535de5cace47791ebd9d5fda62ba3c3a6,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-bg/models/lemma/btb.pt'
stanfordnlp/stanza-bg,f437b81ecb1311dd895c0bee02b6da15cf610abf,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-bg/models/ner/bsnlp.pt'
stanfordnlp/stanza-be,a727dfa62c38e71d3fe422f6075bd12f1e472173,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-be/models/depparse/hse.pt'
stanfordnlp/stanza-be,cf60d19f59123ff28e0b7d4053c6519165e75fbe,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-be/models/pos/hse.pt'
stanfordnlp/stanza-be,4042a7166c0f6a1c3dd4d0e42ffb66ae97f30260,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-be/models/lemma/hse.pt'
stanfordnlp/stanza-be,2e952c227b5e184b15b03ec29fd082cee7c3721d,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-be/models/pretrain/hse.pt'
stanfordnlp/stanza-ar,ac5150593631108614d5e95337acac01f1827812,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-ar/models/ner/aqmar.pt'
stanfordnlp/stanza-ar,e8668ab171364e914734f9ebf131069dfc0d511f,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-ar/models/depparse/padt.pt'
stanfordnlp/stanza-ar,4c5aee992ce1e36f4cdd024f5b70d323b6637b1c,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-ar/models/pos/padt.pt'
stanfordnlp/stanza-ar,e3e3fb47d351dad6123b82937f5dc5c36a7ebb77,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-ar/models/lemma/padt.pt'
stanfordnlp/stanza-af,8c0cef9c7127462855845529a31205bb92a71ae6,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-af/models/depparse/afribooms.pt'
stanfordnlp/stanza-af,0ed8cf2336a77a36f564a27e56a5f29a4351e98b,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-af/models/pos/afribooms.pt'
stanfordnlp/stanza-fr,5610b263c7362dd8225eb3356d00e091334be8e4,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-fr/models/depparse/spoken.pt'
stanfordnlp/stanza-fo,c2919fbf9dc95e4955c833bc01ca570c532e5f53,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-fo/models/depparse/farpahc.pt'
stanfordnlp/stanza-fo,9f85955124e24a91d4d473a689d6266a262eebe4,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-fo/models/pos/farpahc.pt'
stanfordnlp/stanza-fo,7d8ae675214f5be48e6cfe1f355722cae4684c98,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-fo/models/pretrain/farpahc.pt'
stanfordnlp/stanza-fi,0421b8614989a1fb6fe597fc32fc0703072274e7,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-fi/models/depparse/ftb.pt'
stanfordnlp/stanza-fi,bcda077b20869971e5a0721f18a873cda238e452,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-fi/models/pos/ftb.pt'
